,University ,City,State,Zip Code,Type of School,Total Enrolment,Acceptance,Departments,Aeronautical Engineering,Agricultural and Biological Engineering,Biological Engineering,Chemical Engineering,Civil Engineering,Coastal and Oceanographic Engineering,Design Engineering,Computer Science,Computer Engineering,Cybersecurity,Electrical Engineering,Environmental Engineering,Software Engineering,Information Technology,Mechanical Engineering,Nuclear Engineering Sciences,Materials Science,Engineering Management,Nanotechnology,Manufacturing Systems Engineering,Macromolecular Science and Engineering,Petroleum Engineering,Telecommunications,Robotics,Supply Chain Management,Tuition Fee-M, Fall Deadline,Spring Deadline,App Fee,GPA,TOEFL ,IELTS ,PTE,GRE V,GRE Q,Email Address,Phone
11,University of Pennsylvania,Philadelphia,Pennsylvania,19104,Private university,,9.40%,Engineering,,,,Chemical and Biomolecular Engineering,,,Integrated Product Design,Computer and Information Science,,,Electrical Engineering,,,Biotechnology,,,,,Nanotechnology,,,,,,,"$25,958",15/11,0,$80,3.5,100,7.5,63,160,167,sherry@seas.upenn.edu,215.898.4542
12,Yale University,New Haven,Connecticut,*06520,Private university,,6.30%,Engineering,,,,Chemical Engineering,,,,,,,,Environmental Engineering,,,Mechanical Engineering,,Materials Science,,,,,,,,,,02/01,0,$130,3.6,100,7,70,155,160,graduate.admissions@yale.edu,203.432.2771
13,University of Texas Austin,Austin,Texas,78712,public university,"50,950",39.70%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,,,Electrical & Computer Engineering,,,,Mechanical Engineering,,Materials Science & Engineering,Engineering Management,,,,Petroleum Engineering,,,,"$36,060",15/12,15/12,$90,3.5,79,6.5,,157,165,intladm@austin.utexas.edu,512.475.7391
14,University of Florida,Gainesville,Florida,32611,Public  university,"52,519",47.10%,Engineering,Aerospace Engineering,Agricultural and Biological Engineering,,Chemical Engineering,Civil Engineering,Coastal and Oceanographic Engineering,,Computer Science,Computer Engineering,,Electrical and Computer Engineering,Environmental Engineering Sciences,,,Mechanical Engineering,Nuclear Engineering Sciences,Materials Science and Engineering,Industrial and Systems Engineering,,,,,,,,"$32,458",0,0,$30,3.6,80,6,0,154,160,gradschool@ufl.edu,352.392.6622
15,University of California San Diego,San Diego,California,92093,public university,"33,735",38.30%,Engineering,,,,Chemical Engineering,,,,Computer Science,,,Electrical Engineering,,,,Mechanical and Aerospace Engineering,,Materials Science and Engineering,,NanoEngineering,,,,,,,"$31,563",15/12,0,$110,3,80,6.5,65,157,160,gradinfo@cs.ucsd.edu,858.822.5978
16,Duke University, Durham,North Carolina,27708, private university,"14,950",10.40%,Engineering,,,,,Civil and Environmental Engineering,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical Engineering and Materials Science,,,,,,,,,,,"$37,741",31/01,15/10,$80,3,100,7,0,156,169,hwansoo.kim@duke.edu,919.684.3913
17,Michigan State University,East Lansing,Michigan,48824,public university,"50,543",66.10%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$42,768",31/12,15/09,$50,3,95,6.5,0,153,164,trinkle4@cse.msu.edu,517.355.5113
18,University of Chicago,Chicago,Illinois,"60637,",private  university,"14,467",7.60%,Engineering,,,,,,,,Computer Science,,,,,,,,,,,,,,,,,,,01/12,0,$90,3,90,7,0,151,161,jennyadams@uchicago.edu,773.834.3388
19,University of North Carolina Chapel Hill,"Chapel Hill,",North Carolina,"27599,",public  university ,"29,135",30%,Engineering,,,,,,,,Computer Science,,,,Environmental Sciences and Engineering,,,,,Materials Science,,,,,,,,,"$51,466",13/12,0,$85,3,79,7,0,151,151,gradadmissions@unc.edu,919.966.2611
20,Johns Hopkins University,Baltimore,Maryland,21218, private university ,"12,662",11.50%,Engineering,,,,Chemical & Biomolecular Engineering,Civil Engineering,,Bioengineering Innovation & Design,Computer Science,,Cybersecurity / Security Informatics,Electrical & Computer Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Science & Engineering,Engineering Management,,,,,,Robotics,,"$50,410",15/02,15/09,$75,3.5,100,7,68,153,160,admissions@cs.jhu.edu.,410.516.8174
21,University of Illinois Urbana Champaign,"Champaign,",Illinois,61820,public  university,"44,087",62.40%,Engineering,, Agricultural and Biological Engineering,,,,,,Computer Science,,,ELECTRICAL AND COMPUTER ENGINEERING,,,,MECHANICAL SCIENCE AND ENGINEERING,"Nuclear, Plasma, and Radiological Engineering",MATERIALS SCIENCE AND ENGINEERING,Industrial and Enterprise Systems Engineering,,,,,,,,"$27,569",01/07,0,$90,3,102,6.5,0,153,160,engr-gpp@illinois.edu,217.244.2745
22,University of California Davis,Davis,California,95616,public university,"35415,",38.20%,Engineering,,,,Chemical Engineering,Civil and Environmental Engineering,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical and Aerospace Engineering,,Materials Science and Engineering,,,,,,,,,"$28,345",15/01,0,$110,3,80,7,0,154,165,devanbu@cs.ucdavis.edu,530.752.0650
23,Princeton University,Princeton,New Jersey,8544, private  university,"8,138",6.50%,Engineering,,,,Chemical and Biological Engineering,Civil and Environmental Engineering,,,Computer Science,,,Electrical Engineering,,,,Mechanical and Aerospace Engineering,,,,,,,,,,,"47,220",15/12,0,$90,3.5,100,7,0,154,165,gs@princeton.edu,609.258.5494
24,Purdue University,Indiana,Lafayette,47907, private  university,"38,770",49.20%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Sciences,,,,,,,,Nuclear Engineering,,,,,,,,,,"$30,804",01/01,01/10,$75,3.5,100,7.5,58,156,159,admissions@purdue.edu,765-494-1776
25,New York University,New York,New York,10012,Private university,0,31%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,,Electrical Engineering,Environmental Engineering,,,"Mechanical Engineering, MS",,,,,,,,,,,"$32,920",15/02,01/11,$75,3.5,100,7,0,154,160,gradadmissions@nyu.edu,212.992.4723
26,University of Southern California,California,Los Angeles,90089,Private university,"43,000",16.50%,Engineering,,,,Chemical Engineering & Materials Science,,,,Computer Science,,,Electrical Engineering,,,,,,,,,,,Petroleum Engineering,,,,"$62,540",15/12,15/09,$85,3,90,6.5,0,154,160,gradadm@usc.edu,213.740.4488
27,(1) University of Maryland,Maryland,College Park,20742,Private university,"37,610",47.90%,Engineering,,,,,,,,,,,,,,,Mechanical Engineering,Nuclear Engineering,Materials Science and Engineering,,,,,,,,,"$26,640",16/12,0,$75,3,100,7,68,154,163,gradschool@umd.edu,301.405.3644
28,Texas A&M University,Texas,College Station,77843,public university,"58,577",69.20%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,Computer Science & Engineering,,,,,,Mechanical Engineering,Nuclear Engineering,Materials Science & Engineering,,,,,Petroleum Engineering,,,,"$17,709",01/03,01/08,$90,3.5,100,7,0,153,164,ddesousa@tamu.edu,979.458.3870
29,University of Arizona,Arizona,Tucson,85721,public university,"42,236",,Engineering,,,,Chemical engineering,Civil engineering,,,,Computer engineering,,Electrical engineering,Environmental engineering,,,Mechanical engineering,,,,,,,,,,,"$31,100",01/12,01/06,$95,3,100,7,60,158,160,UA@engr.arizona.edu,520.621.6594
30,University of Virginia,Virginia,Charlottesville,22904,public-private university,"21,238",29%,Engineering,,,,Chemical Engineering,,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical and Aerospace Engineering,,Materials Science and Engineering,Systems and Information Engineering,,,,,,,,"65,214",15/12,01/10,$85,3.5,90,7,0,156,160,gseasadmission @virginia.edu p,434.982.2200
31,Carnegie Mellon University,Pennsylvania,Pittsburgh,15213,Private university,"13,285",16.20%,Engineering,,,,Chemical Engineering,,,,,,,Electrical and Computer Engineering,,,,,,Materials Science and Engineering,,,,,,,,,"$32,704",15/12,01/10,$70,3,88,6.5,0,156,160,applygrad@cs.cmu.edu,412.268.3407
32,University of California San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,(2) California Institute of Technology Caltech,California,Pasadena,91125,Private university,"2,255",9%,Engineering,,,,,,,,,,,Electrical Engineering,Environmental Science & Engineering,,,,,,,,,,,,,,"$43,710",15/12,0,$100,3.5,90,6.5,68,156,160,gradofc@caltech.edu,626.395.6346
34,Ohio State University,Ohio,Columbus,43210,public university,"64,868",55.50%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science and Engineering,,,,,,,Mechanical Engineering,Nuclear Engineering,,,,,,,,,,"$29,305",01/11,01/10,$70,3.6,79,7,0,154,164,gpadmissions@osu.edu,614.292.9444
35,Rutgers The State University of New Jersey,New Jersey,Brunswick,8901,public university,"66,013",60.90%,Engineering,,,,,,,,,,,,,,,Materials Science and Engineering,,Materials Science and Engineering,Industrial and Systems,,,,,,,,"$29,521",01/12,01/10,$65,3.2,83,7,0,154,164,RUInternational@admissions.rutgers.edu.,848.445.2212
36,Northwestern University,Illinois,Evanston,60208,private university,"20,336",10.70%,Engineering,,,,Chemical Engineering,,,, Computer Science,,,Electrical Engineering,Environmental engineering and science,,Information Technology,,,Materials Science and Engineering,Engineering Management ,,,,,,,,"$48,624",01/12,,$95,3.3,90,7,0,154,164,esamgrad@northwestern.edu,847.491.5279
37,University of Pittsburgh,Pennsylvania,Pittsburgh,15260,private university,"34,934",56.10%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,Computer Engineering,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,Nuclear Engineering,Materials Science and Engineering,Industrial Engineering,,,,Petroleum Engineering,,,,"$39,410",01/03,01/07,$45,3.5,100,7,0,156,158,ssoeadm@pitt.edu,412.624.4141
38,Vanderbilt University,Tennessee,Nashville,37235,Private university,4.134,8.80%,Engineering,,,,Chemical and Biomolecular Engineering,Civil Engineering,,,Computer Science,,,Electrical Engineering,Environmental Engineering,,,,,Interdisciplinary Material Science,,,,,,,,,"$43,620",15/12,15/10,0,3.5,88,7,0,156,158,apply@vanderbilt.edu,615.322.0236
39,Washington University Saint Louis,Missouri,St. Louis,63130,Private university,"14,210",17.10%,Engineering,,,,,,,,Computer Science & Engineering,Computer engineering,Cyber Security Management,Electrical & Systems Engineering,"Energy, Environmental & Chemical Engineering",,Information Systems,Mechanical Engineering,,,,Nanoscale Science & Engineering,,,,,Robotics,,"$61,000",01/03,01/10,$75,3,79,6,0,146,146,admissions@wustl.edu,314.935.7974
40,University of California Irvine,California,California,92697,Public university,"30,757",38.70%,Engineering,,,,,Civil Engineering M.S.,,,,Computer Engineering,,Electrical Engineering,Environmental Engineering ,,Network Systems,Mechanical and Aerospace Engineering,,Materials Science and Engineering ,Engineering Management ,,Materials and Manufacturing Technology,,,,,,"$11,220",15/12,0,$125,3,80,7,0,154,160,GradAdmissionQuestions@uci.edu,949.824.4611
41,Arizona State University,Arizona,"Tempe,",85281,Public university,"83,301",,Engineering,,,,Chemical Engineering,,,,,,,Electrical Engineering,,,,,,Materials Science & Engineering,,,,Solar Energy Engineering & Commercialization,,,,,"$30,682",31/12,31/07,$90,3.5,90,6.5,0,146,166,grad-ges@asu.edu,480.965.6113
42,Georgia Institute of Technology,Georgia,Atlanta,30332,Public university,"25,034",25%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,Computational Science and Engineering,Systems Engineering,Electrical and Computer Engineering,Environmental Engineering,,,Mechanical Engineering,Nuclear and Radiological Engineering,Materials Science and Engineering,Industrial Engineering ,,,,,,,Supply Chain Engineering ,"$30,004",01/12,01/08,$85,3,100,7,0,154,160,omscs@cc.gatech.edu,404.894.2983
43,University of Colorado Boulder,Colorado,Boulder,80309,public university,"32,775",84.20%,Engineering,,,,Chemical Engineering,,,,Computer Science (Engineering),,,Electrical and Computer Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Science and Engineering,Engineering Management,,,Information and Communication Technology for Development,,,,,"$45,238",15/12,01/09,$70,3.5,100,7,0,157,161,bursar@colorado.edu,303.492.5381
44,Tufts University,Massachusetts,Medford,*02155,private university,"10,872",14%,Engineering,,,,Chemical and Biological Engineering,,,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,,Engineering Management ,,,,,,,,"$42,408",15/12,01/09,$75,3,80,6.5,0,145,163,gradadmissions@tufts.edu,617.627.3395
45,Boston University,Massachusetts,Boston,*02215,private university,,29%,Engineering,,,,,,,,,Computer Engineering,,Electrical Engineering,,,Systems Engineering,Mechanical Engineering,,Materials Science & Engineering,,,Manufacturing Engineering,,,,Photonics,,"$45,686",15/12,01/10,$95,3.5,84,7,0,145,164,enggrad@bu.edu,617.353.9760
46,University of Utah,Utah,Salt Lake City,84112,public university,"31,515",81.70%,Engineering,,,,Chemical Engineering,,,,,,,Electrical and Computer Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$24,939",01/04,01/11,$65,3.5,100,7.5,0,150,158,info@coe.utah.edu,801.581.6911
47,Indiana University Bloomington,Indiana,Bloomington,"48,514",public university,47405,76.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,North Carolina State University,Raleigh,North Carolina,27695,public university,"33,989",43.70%,Engineering,,,,,,,,Computer Science,,,Electrical & Computer Engineering,,,,Mechanical & Aerospace Engineering,Nuclear Engineering,Materials Science & Engineering,Industrial & Systems Engineering,,,,,,,,"$15,447.00",15/12,01/07,$75,3,90,6.5,0,154,166,graduate-school@ncsu.edu,919.515.2872
49,Virginia Polytechnic Institute and State University,Virginia,Blacksburg,24061,public university,"30,598",70%,Engineering,,,,Chemical Engineering,Civil Engineering,Ocean Engineering,,Computer Science & Applications,,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Science and Engineering,Industrial and Systems Engineering,Nuclear Engineering,,,,,,,"13,882",31/12,01/09,$75,3.5,100,7.5,0,153,157,grads@vt.edu,540.231.8636
50,University of California Santa Barbara,Santa Barbara,California,93106,public university,"23,051",32.70%,Engineering,,,,Chemical Engineering,,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical Engineering,,Materials Science & Engineering,,,,,,,,,"$21,985",15/12,03/01,$80,3.5,100,7,0,161,167,megrad@engineering.ucsb.edu,805.893.3011
51,University of Iowa,Iowa City,Iowa,52242,public university,"31,387",80.20%,Engineering,,,,,,,,,,,Electrical & Computer Engineering,,,,Mechanical Engineering,,,Industrial Engineering,,,,,,,,"$27,272",01/03,01/08,$100,3,81,7,68,151,152,intlmail@uiowa.edu,319.335.1534
52,Iowa State University,Ames,Iowa,50013,public  university,"34,732",86.90%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,Computer Engineering,,Electrical Engineering,Energy Systems Engineering,,Systems Engineering,Mechanical Engineering,,Materials Science and Engineering,Industrial and Manufacturing Systems Engineering,,,,,,,,"$22,250",01/03,01/10,$100,3,79,6.5,53,145,155,grad_adm@cs.iastate.edu,515.294.1224
53,University of Georgia,Athens,Georgia,30602,public university,"36,130",55.80%,Engineering,,Agricultural and Biological Engineering,,,,,,Computer Science,,,,Environmental Engineering,,,,,,,,,,,,,,"$34,450",15/4,15/10,$100,3.36,80,6.5,0,154,149,deckles@uga.edu,706.542.3307
54,University of California Santa Cruz,Santa Cruz,California,95064,public university,"17,866",57%,Engineering,,,,,,,,Computer Science,Computer Engineering,,Electrical Engineering,,,,,,,,,,,,,,,"$25,250",15/3,1/11,$110,3.41,89,7,0,162,162,traciemt@ucsc.edu,831.459.5737
55,University of Kentucky,Lexington,Kentucky,40506,public university,"30,131",68.60%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,,,"Manufacturing Systems Engineering
",,Mining Engineering,,,,"$13,376.00",1/2,15/8,$75,2.5,79,6.5,0,154,151,rodney.andrews@uky.edu,859.257.0200
56,Colorado State University,Fort Collins,Colorado,80523,public university,"32,236",80.50%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,,,Electrical & Computer Engineering,,,Systems Engineering,Mechanical Engineering,,,Engineering Management,,,,,,,,"$24,896",1/6,15/11,$70,3.5,80,6.5,58,153,157,stuart.tobet@colostate.edu,970.491.1672
57,University at Buffalo,Buffalo,New York,14260,public  university,"29,850",57.80%,Engineering,,,,,Civil Engineering,,,Computer Science & Engineering,,,Electrical Engineering,,,,Mechanical Engineering,,,Industrial Engineering,,,,,,,,"$22,210",31/12,31/5,$75,3,79,6.5,55,157,167,maegrad@buffalo.edu,716.645.2334
58,Brown University,Providence,Rhode Island,2912, private university ,"8,848",9%,Engineering,,,,,,,,Computer Science,,,Electrical Sciences and Computer Engineering ,,,,,,Materials Science,,,,,,,,,"$51,152",15/3,15/12,$200,3.67,90,7,0,157,160,international@brown.edu,401.863.2378
59,Oregon State University,Corvallis,Oregon,97331,public  university,"28,886",78%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,,Electrical and Computer Engineering,Environmental Engineering ,,,Mechanical Engineering,,Materials Science ,Industrial Engineering,Nuclear Engineering,,,,,,,"$21,255",1/4,1/10,$85,3,80,6.5,0,146,150,osuadmit@oregonstate.edu,541.737.4411
60,University of Rochester,Rochester,New York,14627,private university,"11,060",35%,Engineering,,,,Chemical Engineering,,,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science,,,,,,,,,"$13,338",15/1,1/12,$60,3,100,7,0,145,158,victoria.heberling@rochester.edu,585.275.1626
61,University of California Riverside,Riverside,California,92521,public university ,"21,539",56%,Engineering,,,,,,,,Computer Science,,,Electrical Engineering,Environmental Science,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$16,830.18",5/1,1/12,$80,3,80,7,0,150,150,isaac@cs.ucr.edu,951.827.2559
62,Emory University,Atlanta,Georgia,30322,private  university,"14,769",23.60%,Engineering,,,,,,,,Computer Science and Informatics,,,,Environmental Sciences,,,,,,,,,,,,,,"$63,058",01/12,,$75,3.7,80,7,68,,,grad@gsas.emory.edu,404.727.4123
63,University of Nebraska Lincoln,Lincoln,Nebraska,68588,public university,"25,006",69.90%,Engineering,,Agricultural and Biological Systems Engineering,,,Civil Engineering,,,Computer Science and Engineering ,,Software Engineering,,Environmental Engineering,,,Mechanical Engineering and Applied Mechanics,,Materials Engineering ,,,,,,,,,"$21,040",1/3,1/11,$50,3,79,6.5,0,153,149,kschindler1@unl.edu ,402.472.1730
64,Florida State University,Tallahassee,Florida,32313,public  university ,"41,473",53.10%,Engineering,,,,,Civil & Environmental Engineering,,,,,,Electrical & Computer Engineering,,,,Mechanical Engineering,,,Industrial & Manufacturing Engineering,,,,,,,,"$20,033",1/7,1/11,$30,3,80,6.5,55,150,159,smclemore@fsu.edu,850.644.9283
65,University of Massachusetts Amherst,Amherst,Massachusetts,*01003,public university,"28,635",58.30%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,,,Electrical and Computer Engineering,Environmental Engineering,,,Mechanical Engineering,,,"Engineering Management,Industrial Engineering ",,,,,,,,"$31,000",15/1,,$75,3,80,6.5,0,160,164,gradadm@grad.umass.edu,413.545.0722
66,University of Missouri Columbia,Columbia,Missouri,65211,public university,"35,441",78.60%,Engineering,,,Biological Engineering,Chemical Engineering,Civil Engineering,,,Computer Science,Computer Engineering,,Electrical Engineering,,,,Mechanical Engineering,,,Industrial Engineering,,,,,,,,"$40,126",15/3,15/10,$25,3,80,6,0,150,150,TaylorCS@missouri.edu,573.882.6269
67,(2) Pennsylvania State University,"State College,",Pennsylvania,16802,Public university,"97,494",50.30%,Engineering,,Agricultural and Biological Engineering,,Chemical Engineering,Civil Engineering,,,Computer Science and Engineering,Computer Engineering,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,,Industrial Engineering,,,,,,,,"$17,192",15/12,1/8,$65,3,80,6.5,0,160,157, jheltman@engr.psu.edu,814.863.3085
68,University of Kansas,Lawrence,Kansas,66045,public university,"27,983",88.40%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,Computer Engineering,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,,Engineering Management,,,,Petroleum Engineering,,,,"$20,100",15/12,30/8,$85,3,71,6.5,0,151,162,mcenroe@ku.edu,785.864.2925
69,University of South Florida,Tampa,Florida,33620,Public university,"48,793",47.50%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,"Engineering Management,Industrial Engineering ",,,,,,,,"$21,126",1/2,1/8,$30,3.5,79,6.5,0,151,159,cunning@usf.edu,813.974.9540
70,University of Tennessee Knoxville,Knoxville,Tennessee,37849,public university,"27,845",75%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,Computer Engineering,,,Environmental Engineering,,,Mechanical Engineering,Nuclear Engineering,Materials Science and Engineering,Industrial Engineering,,,,,,,,"$37,930",15/5,1/10,$60,3.3,80,6.5,0,144,156,wtdavis@utk.edu,865.974.8890
71,University of Illinois Chicago,Chicago,Illinois,60607,public university,"29,048",72.70%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,Industrial Engineering,,,,,,,,"$31,626",1/2,15/7,$70,3,80,6.5,54,150,164,valenta@uic.edu,312.996.1452
72,Rice University,Houston,Texas,77005,private university,"6,621",14%,Engineering,,,,,,,,,,,Electrical and Computer Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$32,000",1/2,15/10,$85,3,90,7,0,156,166,Atorres@rice.edu,713.348.2353
73,Washington State University Pullman,"Pullman,",Washington,99164,public university,"28,686",80.90%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,Computer Engineering,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$42,208",1/7,10/1,$75,3,93,7,0,160,164,sidra@eecs.wsu.edu,509.335.6636
74,University of Oklahoma,"Norman,",Oklahoma,73019, public university,"28,966",81.30%,Engineering,,,,,Civil Engineering and Environmental Science,,,Computer Science,,,Electrical and Computer Engineering,,,,,,,Industrial and Systems Engineering,,,,Petroleum Engineering,,,,"$15,104",01/04,01/ 09,$100,3,79,6.5,0,158,164,admissions@ou.edu,405.325.2151
75,University of Oregon,Eugene,Oregon,97403, public university,"24,125",75%,Engineering,,,,,,,,Computer & Information Science,,,,,,,,,,,,,,,,,,"14,035",01/ 12,,$50,3,100,7,0,153,151,gradsch@uoregon.edu,541.346.5129
76,University of New Mexico,Albuquerque,New Mexico,87104,public research ,"27,353",45%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,Computer Engineering,Electrical Engineering,,,,Mechanical Engineering,Nuclear Engineering,,,Nanoscience and Microsystems ,,,,,,,"$31,715",1/5,1/10,$50.00,2.25,80,6.5,0,146,151,grad@unm.edu,505.277.2711
77,Dartmouth College,Hanover,New Hampshire,*03755,private university,"6,350",10.50%,Engineering,,,,,,,,Computer,,,Electrical,Environmental,,,Mechanical,,Materials Science and Engineering,,,,,,,,,"$16,665",15/5,,$45,3,90,7,0,153,155,engineering.admissions@dartmouth.edu,603.646.2606
78,University of Notre Dame,Notre Dame,Indiana,46556,Catholic university,"12,124",18.30%,Engineering,,,,,Civil and Environmental Engineering and Earth Sciences,,,Computer Science ,Computer Engineering,,Electrical Engineering,,,,,,,,,,,,,,,"$47,700",15/1,,$75.00,3,80,7,0,144,153,gradapp@nd.edu,574.631.7706
